Sp	BOLD	GenBank
Allonemobius fasciatus	ORTBB952-12	NA
Allonemobius fasciatus	ORTBB954-12	NA
Allonemobius fasciatus	BBOWC296-12	KM531527
Allonemobius fasciatus	ORTBB953-12	NA
Allonemobius fasciatus	ORTBB423-12	NA
Allonemobius fasciatus	ORTBB425-12	NA
Allonemobius fasciatus	ORTBB413-12	NA
Allonemobius fasciatus	ORTBB418-12	NA
Allonemobius fasciatus	ORTBB016-12	NA
Allonemobius fasciatus	ORTBB430-12	NA
Allonemobius fasciatus	ORTBB419-12	NA
Allonemobius fasciatus	ORTBB424-12	NA
Allonemobius fasciatus	ORTBB015-12	NA
Allonemobius fasciatus	BBOWC216-11	KM534562
Allonemobius fasciatus	INRMA341-12	NA
Allonemobius fasciatus	ORTBB951-12	NA
Allonemobius fasciatus	ORTBB412-12	NA
Allonemobius fasciatus	ORTBB944-12	NA
Allonemobius fasciatus	BBOWC049-10	JN294565
Allonemobius fasciatus	BBOWC214-11	KM532422
Allonemobius fasciatus	BBOWC232-11	KM537103
Allonemobius fasciatus	RBINA894-13	KR144996
Allonemobius fasciatus	RBINA903-13	KR148840
Allonemobius fasciatus	RBINA904-13	KR140867
Allonemobius fasciatus	NCCF510-11	KR140928
Allonemobius fasciatus	SIOCN082-10	HM383983
Allonemobius fasciatus	INRMA342-12	NA
Allonemobius fasciatus	ORTBB411-12	NA
Allonemobius fasciatus	ORTBB421-12	NA
Allonemobius fasciatus	SMTPD2037-13	KR141044
Apis mellifera ligustica	GBMNA22998-19	MH341408
Apis mellifera ligustica	GBMNA17753-19	KX908209
Apis mellifera ligustica	GBMIN10328-12	GU979498
Apis mellifera ligustica	GBMNA22997-19	MH341407
Apis mellifera scutellata	GBHAP753-14	KJ601784
Apis mellifera scutellata	GBMNA18332-19	MG552703
Apis mellifera scutellata	GBAH17662-19	KY614238
Apis mellifera scutellata	GBMNA18329-19	MG552700
Apis mellifera scutellata	GBMNA18330-19	MG552701
Apis mellifera scutellata	GBMNA18328-19	MG552699
Apis mellifera scutellata	GBMNA18331-19	MG552702
Apis mellifera scutellata	GBMNA18327-19	MG552698
Aricia agestis	GBMIN16162-13	JX678169
Aricia agestis	GBGL34941-19	KR093037
Aricia agestis	GBMNB42694-20	MN107385
Aricia agestis	GBGL0678-06	AY496801
Aricia agestis	GBMNB42699-20	MN107384
Aricia agestis	GBGL0498-06	AY350456
Aricia agestis	GBMIN16175-13	JX678143
Aricia agestis	OXB689-15	MH418979
Aricia agestis	GBMND51765-21	MT883851
Aricia agestis	GBGL18190-15	KM459052
Aricia agestis	GBMND51761-21	MT883883
Aricia agestis	GBGL18194-15	KM459056
Aricia agestis	GWORZ055-10	HM913967
Aricia agestis	GBGL18200-15	KM459062
Aricia agestis	GBMND51817-21	MT883837
Aricia agestis	BIBSA1988-19	NA
Aricia agestis	GBGL18243-15	KP052710
Aricia agestis	GBGL18180-15	KM459042
Aricia agestis	GBGL18231-15	KM459093
Aricia agestis	LEPAA814-16	MK186129
Aricia agestis	LEPAA079-16	MK186125
Aricia agestis	GBGL18178-15	KM459040
Aricia agestis	GBGL34942-19	LT628804
Aricia agestis	GBMND51738-21	MT883821
Aricia agestis	GBMNB42695-20	MN107393
Aricia agestis	GBMND51812-21	MT883842
Aricia agestis	GBMND51756-21	MT883857
Aricia agestis	GBMNB42700-20	MN107387
